File,Column,Type,Block,Meaning,Missing,StataName
term_spans.parquet,TermN,DOUBLE,Period,The number the contract wrote.,IsOpen is TRUE,TermN
term_spans.parquet,TermUnit,VARCHAR,Period,"The unit it wrote: day, week, month or year; open for an open-ended clause.",never,TermUnit
term_spans.parquet,TermYears,DOUBLE,Period,The period in years.,IsOpen is TRUE,TermYears
term_spans.parquet,IsOpen,BOOLEAN,Period,TRUE where the clause states the contract has no fixed length.,never,IsOpen
term_spans.parquet,PeriodKind,VARCHAR,Period,"What the period governs, from the word before it: term, notice, cure, survival or other. Descriptive only; no variable uses it.",never,PeriodKind
term_spans.parquet,PeriodCue,VARCHAR,Period,The word that set PeriodKind.,PeriodKind is other,PeriodCue
redact_spans.parquet,DocID,VARCHAR,Marker,The contract (its primary copy). Joins to Contracts on DocID.,never,DocID
redact_spans.parquet,MarkStart,INTEGER,Marker,0-based offset of the span's first character in TextRaw.,never,MarkStart
redact_spans.parquet,MarkStop,INTEGER,Marker,"Offset one past the span's last character, so the span is TextRaw[Start:Stop] in Python and stri_sub(TextRaw, Start + 1, Stop) in R.",never,MarkStop
redact_spans.parquet,MarkText,VARCHAR,Marker,The marker as written in TextRaw.,never,MarkText
redact_spans.parquet,Kind,VARCHAR,Marker,"RedactExplicit, RedactSymbol, RedactBlank, RedactBare, OmitExplicit or OmitSymbol: the classes the redaction counts in Contracts use.",never,Kind
redact_spans.parquet,Bracketed,BOOLEAN,Marker,"TRUE for the five bracketed kinds, FALSE for RedactBare.",never,Bracketed
redact_spans.parquet,Withheld,BOOLEAN,Marker,"TRUE where text was withheld (a redaction), FALSE for an omission placeholder such as [Intentionally Omitted].",never,Withheld
